Año Censal,Entidad,Municipio,Actividad económica,UE Unidades económicas
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 23 Construcción,1
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 31-33 Industrias manufactureras,16
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 43 Comercio al por mayor,4
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 46 Comercio al por menor,110
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 51 Información en medios masivos,1
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 52 Servicios financieros y de seguros,1
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1
2023,28 Tamaulipas,004 Antiguo Morelos,"Sector 54 Servicios profesionales, científicos y técnicos",1
2023,28 Tamaulipas,004 Antiguo Morelos,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 61 Servicios educativos,1
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 62 Servicios de salud y de asistencia social,6
2023,28 Tamaulipas,004 Antiguo Morelos,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",3
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,37
2023,28 Tamaulipas,004 Antiguo Morelos,Sector 81 Otros servicios excepto actividades gubernamentales,32
2023,28 Tamaulipas,005 Burgos,Total municipal,150
2023,28 Tamaulipas,005 Burgos,Sector 31-33 Industrias manufactureras,17
2023,28 Tamaulipas,005 Burgos,Sector 43 Comercio al por mayor,2
2023,28 Tamaulipas,005 Burgos,Sector 46 Comercio al por menor,75
2023,28 Tamaulipas,005 Burgos,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1
2023,28 Tamaulipas,005 Burgos,"Sector 54 Servicios profesionales, científicos y técnicos",3
2023,28 Tamaulipas,005 Burgos,Sector 62 Servicios de salud y de asistencia social,1
2023,28 Tamaulipas,005 Burgos,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,23
2023,28 Tamaulipas,005 Burgos,Sector 81 Otros servicios excepto actividades gubernamentales,28
2023,28 Tamaulipas,006 Bustamante,Total municipal,93
2023,28 Tamaulipas,006 Bustamante,Sector 31-33 Industrias manufactureras,13
2023,28 Tamaulipas,006 Bustamante,Sector 43 Comercio al por mayor,3
2023,28 Tamaulipas,006 Bustamante,Sector 46 Comercio al por menor,58
2023,28 Tamaulipas,006 Bustamante,Sector 51 Información en medios masivos,1
2023,28 Tamaulipas,006 Bustamante,"Sector 54 Servicios profesionales, científicos y técnicos",1
2023,28 Tamaulipas,006 Bustamante,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1
2023,28 Tamaulipas,006 Bustamante,Sector 62 Servicios de salud y de asistencia social,1
2023,28 Tamaulipas,006 Bustamante,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6
2023,28 Tamaulipas,006 Bustamante,Sector 81 Otros servicios excepto actividades gubernamentales,9
2023,28 Tamaulipas,007 Camargo,Total municipal,764
2023,28 Tamaulipas,007 Camargo,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",33
2023,28 Tamaulipas,007 Camargo,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1
2023,28 Tamaulipas,007 Camargo,Sector 23 Construcción,1
2023,28 Tamaulipas,007 Camargo,Sector 31-33 Industrias manufactureras,53
2023,28 Tamaulipas,007 Camargo,Sector 43 Comercio al por mayor,9
2023,28 Tamaulipas,007 Camargo,Sector 46 Comercio al por menor,307
2023,28 Tamaulipas,007 Camargo,"Sector 48-49 Transportes, correos y almacenamiento",5
2023,28 Tamaulipas,007 Camargo,Sector 51 Información en medios masivos,2
2023,28 Tamaulipas,007 Camargo,Sector 52 Servicios financieros y de seguros,8
2023,28 Tamaulipas,007 Camargo,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,13
2023,28 Tamaulipas,007 Camargo,"Sector 54 Servicios profesionales, científicos y técnicos",16
