Año Censal,Entidad,Actividad económica,Q000A Acervo total de activos fijos (millones de pesos),A221A Formación bruta de capital fijo (millones de pesos),A211A Inversión total (millones de pesos),A121A Consumo intermedio (millones de pesos),H001A Personal ocupado total,A111A Producción bruta total (millones de pesos),A131A Valor agregado censal bruto (millones de pesos)
2013,28 Tamaulipas,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",733.082,37.572,37.985,444.025,3723,963.543,519.518
2013,28 Tamaulipas,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4082.192,115.698,112.957,5072.532,45166,8654.009,3581.477
2013,28 Tamaulipas,Sector 81 Otros servicios excepto actividades gubernamentales,2953.122,116.415,140.521,2353.6,41099,5396.023,3042.423
2008,00 Total Nacional,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",14035.461,826.063,824.486,8562.512,180083,18649.362,10086.85
2008,00 Total Nacional,Sector 21 Minería,508227.489,91136.848,84813.461,234794.761,142325,1293421.426,1058626.665
2008,00 Total Nacional,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1300553.314,33005.317,37376.639,250738.266,235688,513942.067,263203.801
2008,00 Total Nacional,Sector 23 Construcción,84188.91,7923.782,11099.638,283671.546,704640,405388.143,121716.597
2008,00 Total Nacional,Sector 31-33 Industrias manufactureras,1586990.745,90415.606,118290.674,3396177.829,4661062,4879546.807,1483368.978
2008,00 Total Nacional,Sector 43 Comercio al por mayor,168003.161,13806.385,29020.411,184220.009,1107295,472016.168,287796.159
2008,00 Total Nacional,Sector 46 Comercio al por menor,399208.741,30973.511,45171.925,260484.749,5027463,601148.585,340663.836
2008,00 Total Nacional,"Sector 48-49 Transportes, correos y almacenamiento",640674.35,64271.371,64502.328,240168.348,718062,425696.778,185528.43
2008,00 Total Nacional,Sector 51 Información en medios masivos,381969.349,43874.079,49008.389,276383.137,293550,448936.467,172553.33
2008,00 Total Nacional,Sector 52 Servicios financieros y de seguros,91967.432,12872.961,12923.527,209618.458,480557,801228.022,591609.564
2008,00 Total Nacional,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,85284.902,4139.877,4121.482,50995.465,234548,90997.395,40001.93
2008,00 Total Nacional,"Sector 54 Servicios profesionales, científicos y técnicos",44186.821,2829.289,2836.298,72625.065,570637,167664.723,95039.658
2008,00 Total Nacional,Sector 55 Dirección y administración de grupos empresariales o corporativos,62024.666,4029.229,4055.76,21595.003,26310,211963.714,190368.711
2008,00 Total Nacional,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",37639.786,4414.297,4349.807,71565.007,1365509,241189.743,169624.736
2008,00 Total Nacional,Sector 61 Servicios educativos,85530.714,4620.144,4622.592,32044.219,632422,103365.895,71321.676
2008,00 Total Nacional,Sector 62 Servicios de salud y de asistencia social,62027.943,3772.486,3776.512,38987.839,584046,75447.736,36459.897
2008,00 Total Nacional,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",54603.923,2208.767,2227.305,25532.088,196793,48260.045,22727.957
2008,00 Total Nacional,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,235780.113,11533.979,11476.223,173578.269,1743482,283717.342,110139.073
2008,00 Total Nacional,Sector 81 Otros servicios excepto actividades gubernamentales,84302.625,2695.9,2999.868,80679.954,1212362,153341.81,72661.856
2008,28 Tamaulipas,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",646.144,11.521,11.421,356.837,7727,865.759,508.922
2008,28 Tamaulipas,Sector 21 Minería,20417.836,13211.518,11994.865,11064.209,5029,47021.426,35957.217
2008,28 Tamaulipas,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",69076.854,1602.694,1854.974,12568.941,10292,25629.206,13060.265
2008,28 Tamaulipas,Sector 23 Construcción,3909.787,343.16,412.471,9373.397,34631,13878.761,4505.364
2008,28 Tamaulipas,Sector 31-33 Industrias manufactureras,54800.88,2861.59,3228.079,176066.237,234244,234673.053,58606.816
2008,28 Tamaulipas,Sector 43 Comercio al por mayor,5593.569,323.405,684.86,4587.367,30570,12207.715,7620.348
2008,28 Tamaulipas,Sector 46 Comercio al por menor,13006.105,1073.852,1543.731,8797.764,144891,21426.496,12628.732
2008,28 Tamaulipas,"Sector 48-49 Transportes, correos y almacenamiento",14292.584,1405.229,1407.009,6483.088,27390,15114.331,8631.243
2008,28 Tamaulipas,Sector 51 Información en medios masivos,7000.062,662.812,922.87,7344.262,9278,11903.121,4558.859
2008,28 Tamaulipas,Sector 52 Servicios financieros y de seguros,157.138,19.407,22.551,279.858,3086,614.282,334.424
2008,28 Tamaulipas,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1227.78,48.967,46.452,1729.314,7225,2837.83,1108.516
2008,28 Tamaulipas,"Sector 54 Servicios profesionales, científicos y técnicos",1474.128,73.142,72.554,1671.081,14393,4392.142,2721.061
2008,28 Tamaulipas,Sector 55 Dirección y administración de grupos empresariales o corporativos,10.063,1.368,1.418,120.124,15,214.238,94.114
2008,28 Tamaulipas,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",684.679,36.752,32.49,1217.208,28543,5205.444,3988.236
2008,28 Tamaulipas,Sector 61 Servicios educativos,1911.295,115.522,116.187,715.51,17644,2431.815,1716.305
2008,28 Tamaulipas,Sector 62 Servicios de salud y de asistencia social,1463.946,67.065,67.005,943.242,16791,2021.816,1078.574
2008,28 Tamaulipas,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",744.729,12.109,12.346,267,3715,648.307,381.307
2008,28 Tamaulipas,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4246.173,85.28,87.119,4052.713,47588,7408.881,3356.168
2008,28 Tamaulipas,Sector 81 Otros servicios excepto actividades gubernamentales,2937.489,88.998,95.137,2563.702,42373,3829.704,1266.002
2003,00 Total Nacional,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",9871.978,506.08,506.08,5826.275,196481,13964.324,8138.049
2003,00 Total Nacional,Sector 21 Minería,209265.675,-274.508,2012.123,26992.684,122640,468808.146,441815.462
2003,00 Total Nacional,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",717517.683,108309.428,110110.398,145461.59,221335,345364.486,199902.896
2003,00 Total Nacional,Sector 23 Construcción,35344.618,3184.883,4638.107,117115.892,652387,177658.231,60542.339
2003,00 Total Nacional,Sector 31-33 Industrias manufactureras,1258435.455,68684.184,105140.422,1777512.105,4198579,2733534.74,956022.635
2003,00 Total Nacional,Sector 43 Comercio al por mayor,100826.766,6696.711,18462.415,119216.031,962143,377780.948,258564.917
2003,00 Total Nacional,Sector 46 Comercio al por menor,225353.578,13711.491,31310.862,138119.792,4035223,454686.108,316566.316
2003,00 Total Nacional,"Sector 48-49 Transportes, correos y almacenamiento",265152.353,15770.616,16151.543,155108.73,634940,276583.733,121475.003
2003,00 Total Nacional,Sector 51 Información en medios masivos,242886.595,19751.807,20111.676,122298.336,244679,284821.283,162522.947
2003,00 Total Nacional,Sector 52 Servicios financieros y de seguros,56562.6,3596.745,3638.868,82342.996,275830,478861.514,396518.518
2003,00 Total Nacional,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,123525.297,5851.627,5786.266,33071.938,179146,71909.727,38837.789
2003,00 Total Nacional,"Sector 54 Servicios profesionales, científicos y técnicos",31845.51,2964.905,3053.681,54399.726,472348,119556.618,65156.892
2003,00 Total Nacional,Sector 55 Dirección y administración de grupos empresariales o corporativos,26640.036,1170.468,923.344,16458.765,51690,74284.953,57826.188
2003,00 Total Nacional,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",29501.74,2488.235,2705.149,48878.726,815388,138804.204,89925.478
