Instituto Nacional de Estadística y Geografía,,,,,,,,,,,
INEGI. Censos Económicos 2024. Resultados definitivos,,,,,,,,,,,
Fecha de la consulta: 22/09/2025 01:39:41,,,,,,,,,,,
,,,,,,,,,,,
"Año Censal","Entidad","Municipio","Actividad económica","H001A Personal ocupado total","A111A Producción bruta total (millones de pesos)","A121A Consumo intermedio (millones de pesos)","A131A Valor agregado censal bruto (millones de pesos)","A211A Inversión total (millones de pesos)","A221A Formación bruta de capital fijo (millones de pesos)","Q000A Acervo total de activos fijos (millones de pesos)",
2023,"28 Tamaulipas","007 Camargo","Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",113,31.841,12.057,19.784,2.712,2.712,48.574,
2023,"28 Tamaulipas","007 Camargo","Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,
2023,"28 Tamaulipas","007 Camargo","Sector 23 Construcción",,,,,,,,
2023,"28 Tamaulipas","007 Camargo","Sector 31-33 Industrias manufactureras",164,80.030,40.586,39.444,5.801,5.805,18.684,
2023,"28 Tamaulipas","007 Camargo","Sector 43 Comercio al por mayor",41,38.762,4.254,34.508,7.182,7.200,13.768,
2023,"28 Tamaulipas","007 Camargo","Sector 46 Comercio al por menor",713,258.911,50.444,208.467,10.395,11.055,95.946,
2023,"28 Tamaulipas","007 Camargo","Sector 48-49 Transportes, correos y almacenamiento",104,129.050,80.281,48.769,-0.010,0.000,66.723,
2023,"28 Tamaulipas","007 Camargo","Sector 51 Información en medios masivos",,,,,,,,
2023,"28 Tamaulipas","007 Camargo","Sector 52 Servicios financieros y de seguros",16,9.342,3.776,5.566,0.230,0.230,1.645,
2023,"28 Tamaulipas","007 Camargo","Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles",14,2.307,0.833,1.474,0.522,0.522,4.766,
2023,"28 Tamaulipas","007 Camargo","Sector 54 Servicios profesionales, científicos y técnicos",47,12.598,2.811,9.787,1.967,1.967,6.000,
2023,"28 Tamaulipas","007 Camargo","Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",,,,,,,,
2023,"28 Tamaulipas","007 Camargo","Sector 62 Servicios de salud y de asistencia social",124,37.900,8.946,28.954,13.750,13.760,32.624,
2023,"28 Tamaulipas","007 Camargo","Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",9,1.399,0.571,0.828,0.052,0.052,1.551,
2023,"28 Tamaulipas","007 Camargo","Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",305,83.993,40.953,43.040,3.941,3.925,24.236,
2023,"28 Tamaulipas","007 Camargo","Sector 81 Otros servicios excepto actividades gubernamentales",209,38.875,11.550,27.325,2.842,2.844,12.848,
2023,"28 Tamaulipas","008 Casas","Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,,,,,
2023,"28 Tamaulipas","008 Casas","Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,
2023,"28 Tamaulipas","008 Casas","Sector 31-33 Industrias manufactureras",,,,,,,,
2023,"28 Tamaulipas","008 Casas","Sector 43 Comercio al por mayor",,,,,,,,
2023,"28 Tamaulipas","008 Casas","Sector 46 Comercio al por menor",52,5.607,0.805,4.802,0.847,0.923,1.949,
2023,"28 Tamaulipas","008 Casas","Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",11,2.858,1.481,1.377,0.081,0.086,0.189,
2023,"28 Tamaulipas","008 Casas","Sector 81 Otros servicios excepto actividades gubernamentales",5,0.523,0.243,0.280,0.145,0.145,0.201,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,,,,,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 21 Minería",,,,,,,,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 23 Construcción",1864,1823.471,1087.488,735.983,0.201,-0.316,693.651,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 31-33 Industrias manufactureras",7736,59873.394,45457.751,14415.643,-264.734,264.731,25007.010,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 43 Comercio al por mayor",603,370.003,83.780,286.223,2.693,9.388,245.567,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 46 Comercio al por menor",8078,3786.168,1021.603,2764.565,232.434,73.007,1348.975,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 48-49 Transportes, correos y almacenamiento",719,2639.608,2032.036,607.572,66.429,66.443,10417.750,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 52 Servicios financieros y de seguros",278,221.287,127.227,94.060,4.519,4.519,28.828,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles",350,130.620,51.060,79.560,0.279,0.094,145.256,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 54 Servicios profesionales, científicos y técnicos",920,355.887,125.506,230.381,0.930,0.924,74.710,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1416,467.954,148.962,318.992,9.119,9.117,82.128,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 61 Servicios educativos",1783,350.114,82.919,267.195,0.754,0.780,242.174,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 62 Servicios de salud y de asistencia social",1253,271.358,93.646,177.712,3.379,3.165,171.148,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",507,221.173,116.723,104.450,3.467,3.467,81.713,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",4466,1802.168,919.788,882.380,6.429,7.895,733.374,
2023,"28 Tamaulipas","009 Ciudad Madero","Sector 81 Otros servicios excepto actividades gubernamentales",2493,584.924,268.745,316.179,4.833,4.432,228.585,
2023,"28 Tamaulipas","010 Cruillas","Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,
2023,"28 Tamaulipas","010 Cruillas","Sector 31-33 Industrias manufactureras",10,2.795,1.681,1.114,0.000,0.000,1.020,
2023,"28 Tamaulipas","010 Cruillas","Sector 43 Comercio al por mayor",,,,,,,,
2023,"28 Tamaulipas","010 Cruillas","Sector 46 Comercio al por menor",46,3.381,0.475,2.906,0.021,0.000,67.196,
2023,"28 Tamaulipas","010 Cruillas","Sector 62 Servicios de salud y de asistencia social",,,,,,,,
2023,"28 Tamaulipas","010 Cruillas","Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas",12,2.157,1.757,0.400,0.000,0.000,0.500,
2023,"28 Tamaulipas","010 Cruillas","Sector 81 Otros servicios excepto actividades gubernamentales",11,0.864,0.399,0.465,0.000,0.000,0.620,
2023,"28 Tamaulipas","011 Gómez Farías","Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,,,,,
2023,"28 Tamaulipas","011 Gómez Farías","Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,,,,,
